ExportDate,RecordingResolution,RecordingTimestamp,EyeTrackerTimestamp,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointIndex,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,PupilLeft,PupilRight,ValidityLeft,ValidityRight
27/10/2015,1280 x 1024,266,1.42679E+15,,,Unclassified,4,394,530,1,613,550,608.34,608.34,3.23,3.06,0,0
27/10/2015,1280 x 1024,275,1.42679E+15,1,,Fixation,75,394,530,2,614,551,608.38,608.38,3.2,3.07,0,0
27/10/2015,1280 x 1024,283,1.42679E+15,1,,Fixation,75,394,530,3,615,544,608.43,608.43,3.18,3,0,0
27/10/2015,1280 x 1024,291,1.42679E+15,1,,Fixation,75,394,530,4,616,543,608.43,608.43,3.17,2.97,0,0
27/10/2015,1280 x 1024,300,1.42679E+15,1,,Fixation,75,394,530,5,615,548,608.4,608.4,3.16,2.97,0,0
27/10/2015,1280 x 1024,308,1.42679E+15,1,,Fixation,75,394,530,6,614,548,608.4,608.4,3.13,2.95,0,0
27/10/2015,1280 x 1024,316,1.42679E+15,1,,Fixation,75,394,530,7,613,544,608.4,608.4,3.11,2.93,0,0
27/10/2015,1280 x 1024,325,1.42679E+15,1,,Fixation,75,394,530,8,610,542,608.44,608.44,3.08,2.93,0,0
27/10/2015,1280 x 1024,333,1.42679E+15,1,,Fixation,75,394,530,9,611,545,608.49,608.49,3.07,2.9,0,0
27/10/2015,1280 x 1024,341,1.42679E+15,1,,Fixation,75,394,530,10,615,544,608.53,608.53,3.05,2.87,0,0
27/10/2015,1280 x 1024,350,1.42679E+15,,1,Saccade,67,394,530,11,613,543,608.48,608.48,3.04,2.84,0,0
27/10/2015,1280 x 1024,358,1.42679E+15,,1,Saccade,67,394,530,12,591,526,608.57,608.57,3.06,2.84,0,0
27/10/2015,1280 x 1024,366,1.42679E+15,,1,Saccade,67,394,530,13,540,458,608.69,608.69,3.02,2.83,0,0
27/10/2015,1280 x 1024,375,1.42679E+15,,1,Saccade,67,394,530,14,485,372,608.72,608.72,2.97,2.82,0,0
27/10/2015,1280 x 1024,383,1.42679E+15,,1,Saccade,67,394,530,15,439,291,608.96,608.96,2.97,2.82,0,0
27/10/2015,1280 x 1024,391,1.42679E+15,,1,Saccade,67,394,530,16,403,201,609.12,609.12,2.94,2.8,0,0
27/10/2015,1280 x 1024,400,1.42679E+15,,1,Saccade,67,394,530,17,367,100,609.23,609.23,2.94,2.77,0,0
27/10/2015,1280 x 1024,408,1.42679E+15,,1,Saccade,67,394,530,18,347,35,609.49,609.49,2.95,2.76,0,0
