,n_locks,simulation,model,participant,trial,symbol,action,time
0,4,1,Discount,0,0,7,0,1.78
1,4,1,Discount,0,1,4,0,1.25
2,4,1,Discount,0,2,1,0,2.0300000000000002
3,4,1,Discount,0,3,1,0,1.28
4,4,1,Discount,0,4,6,0,2.26
5,4,1,Discount,0,5,3,0,2.23
6,4,1,Discount,0,6,1,0,1.58
7,4,1,Discount,0,7,0,0,1.52
8,4,1,Discount,0,8,3,0,1.35
9,4,1,Discount,0,9,2,0,1.52
10,4,1,Discount,0,10,5,0,2.58
11,4,1,Discount,0,11,3,0,2.6100000000000003
12,4,1,Discount,0,12,0,0,1.51
13,4,1,Discount,0,13,1,0,1.8900000000000001
14,4,1,Discount,0,14,0,0,1.81
15,4,1,Discount,0,15,6,0,1.8599999999999999
16,4,1,Discount,0,16,5,0,1.69
17,4,1,Discount,0,17,0,0,1.65
18,4,1,Discount,0,18,2,0,1.74
19,4,1,Discount,0,19,2,0,2.17
20,4,1,Discount,0,20,3,0,1.28
21,4,1,Discount,0,21,4,0,2.08
22,4,1,Discount,0,22,4,0,2.59
23,4,1,Discount,0,23,2,0,2.91
24,4,1,Discount,0,24,4,0,2.4299999999999997
25,4,1,Discount,0,25,7,0,2.9299999999999997
26,4,1,Discount,0,26,0,0,2.37
27,4,1,Discount,0,27,7,0,2.01
28,4,1,Discount,0,28,2,0,2.76
29,4,1,Discount,0,29,6,0,1.13
30,4,1,Discount,0,30,1,0,2.1399999999999997
31,4,1,Discount,0,31,5,0,1.52
32,4,1,Discount,0,32,0,0,2.16
33,4,1,Discount,0,33,6,0,2.2
34,4,1,Discount,0,34,0,0,2.3200000000000003
35,4,1,Discount,0,35,1,0,2.09
36,4,1,Discount,0,36,7,0,1.47
37,4,1,Discount,0,37,4,0,1.76
38,4,1,Discount,0,38,0,0,1.9100000000000001
39,4,1,Discount,0,39,1,0,1.4
40,4,1,Discount,0,40,4,0,2.51
41,4,1,Discount,0,41,2,0,2.23
42,4,1,Discount,0,42,3,0,1.78
43,4,1,Discount,0,43,0,0,1.71
44,4,1,Discount,0,44,5,0,1.87
45,4,1,Discount,0,45,1,0,2.34
46,4,1,Discount,0,46,6,0,2.1
47,4,1,Discount,0,47,3,0,1.71
48,4,1,Discount,0,48,0,0,1.43
49,4,1,Discount,0,49,0,0,1.96
50,4,1,Discount,0,50,3,0,1.76
51,4,1,Discount,0,51,7,0,2.46
52,4,1,Discount,0,52,4,0,1.47
53,4,1,Discount,0,53,5,0,1.9
54,4,1,Discount,0,54,6,0,1.55
55,4,1,Discount,0,55,4,0,1.9300000000000002
56,4,1,Discount,0,56,3,0,1.09
57,4,1,Discount,0,57,2,0,2.08
58,4,1,Discount,0,58,2,0,1.38
59,4,1,Discount,0,59,2,0,1.24
60,4,1,Discount,0,60,2,0,2.7800000000000002
61,4,1,Discount,0,61,1,0,1.3
62,4,1,Discount,0,62,0,0,2.7800000000000002
63,4,1,Discount,0,63,5,0,1.9100000000000001
64,4,1,Discount,0,64,1,0,2.92
0,4,1,Discount,1,0,7,0,1.46
1,4,1,Discount,1,1,4,0,2.31
2,4,1,Discount,1,2,1,0,1.22
3,4,1,Discount,1,3,0,0,1.9300000000000002
4,4,1,Discount,1,4,5,0,1.2
5,4,1,Discount,1,5,2,0,1.6
6,4,1,Discount,1,6,3,0,2.19
7,4,1,Discount,1,7,5,0,2.88
8,4,1,Discount,1,8,2,0,1.6400000000000001
9,4,1,Discount,1,9,1,0,2.74
10,4,1,Discount,1,10,3,0,2.34
11,4,1,Discount,1,11,4,0,2.74
12,4,1,Discount,1,12,4,0,2.37
13,4,1,Discount,1,13,1,0,2.0
14,4,1,Discount,1,14,2,0,1.6
15,4,1,Discount,1,15,6,0,2.21
16,4,1,Discount,1,16,0,0,1.8
17,4,1,Discount,1,17,7,0,2.45
