,n_locks,simulation,model,model_params,participant,trial,occurrence,symbol,action,time,DISCOUNT,HORIZON,BETA
0,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,0,1,6,0,5.29,0.95,42.19,7.25
1,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,1,1,5,0,5.96,0.95,42.19,7.25
2,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,2,2,5,0,5.16,0.95,42.19,7.25
3,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,3,3,5,0,4.83,0.95,42.19,7.25
4,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,4,2,6,0,4.3,0.95,42.19,7.25
5,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,5,1,2,0,4.24,0.95,42.19,7.25
6,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,6,3,6,0,6.0,0.95,42.19,7.25
7,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,7,1,1,0,4.32,0.95,42.19,7.25
8,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,8,1,4,2,11.39,0.95,42.19,7.25
9,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,9,2,4,0,5.57,0.95,42.19,7.25
10,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,10,4,5,2,10.61,0.95,42.19,7.25
11,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,11,2,2,0,3.84,0.95,42.19,7.25
12,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,12,4,6,0,4.43,0.95,42.19,7.25
13,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,13,3,2,0,3.05,0.95,42.19,7.25
14,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,14,4,2,0,4.32,0.95,42.19,7.25
15,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,15,3,4,0,5.17,0.95,42.19,7.25
16,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,16,1,3,0,4.67,0.95,42.19,7.25
17,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,17,5,5,0,4.13,0.95,42.19,7.25
18,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,18,2,1,0,3.27,0.95,42.19,7.25
19,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,19,2,3,0,5.47,0.95,42.19,7.25
20,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,20,6,5,0,3.8600000000000003,0.95,42.19,7.25
21,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,21,7,5,2,10.43,0.95,42.19,7.25
22,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,22,5,6,0,7.33,0.95,42.19,7.25
23,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,23,5,2,0,4.59,0.95,42.19,7.25
24,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,24,3,1,0,5.63,0.95,42.19,7.25
25,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,25,8,5,0,4.25,0.95,42.19,7.25
26,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,26,9,5,0,7.1,0.95,42.19,7.25
27,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,27,6,6,0,4.84,0.95,42.19,7.25
28,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,28,10,5,0,4.89,0.95,42.19,7.25
29,4,1,Discount,"{'DISCOUNT': 0.95, 'HORIZON': 42.19, 'BETA': 7.25}",0,29,7,6,0,4.22,0.95,42.19,7.25
