,n_locks,simulation,model,model_params,participant,trial,symbol,action,time,DISCOUNT,HORIZON,BETA
0,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,0,4,0,6.61,1.0,500.99,25.49
1,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,1,3,2,9.81,1.0,500.99,25.49
2,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,2,2,2,10.34,1.0,500.99,25.49
3,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,3,2,2,9.98,1.0,500.99,25.49
4,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,4,2,2,10.03,1.0,500.99,25.49
5,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,5,1,2,9.88,1.0,500.99,25.49
6,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,6,3,2,8.93,1.0,500.99,25.49
7,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,7,0,2,9.72,1.0,500.99,25.49
8,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,8,1,2,9.69,1.0,500.99,25.49
9,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,9,4,0,5.38,1.0,500.99,25.49
10,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,10,0,2,10.23,1.0,500.99,25.49
11,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,11,1,2,9.78,1.0,500.99,25.49
12,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,12,0,2,10.36,1.0,500.99,25.49
13,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,13,0,2,10.24,1.0,500.99,25.49
14,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,14,4,0,5.74,1.0,500.99,25.49
15,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,15,0,1,2.45,1.0,500.99,25.49
16,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,16,3,2,9.63,1.0,500.99,25.49
17,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,17,0,1,1.99,1.0,500.99,25.49
18,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,18,0,1,2.56,1.0,500.99,25.49
19,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,19,0,1,1.9300000000000002,1.0,500.99,25.49
20,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,20,1,2,9.46,1.0,500.99,25.49
21,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,21,0,1,1.15,1.0,500.99,25.49
22,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,22,0,1,0.32999999999999996,1.0,500.99,25.49
23,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,23,2,2,10.36,1.0,500.99,25.49
24,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,24,1,1,1.96,1.0,500.99,25.49
25,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,25,0,1,2.04,1.0,500.99,25.49
26,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,26,0,1,2.16,1.0,500.99,25.49
27,4,1,Discount,"{'DISCOUNT': 1.0, 'HORIZON': 500.99, 'BETA': 25.49}",0,27,2,1,2.45,1.0,500.99,25.49
