,n_locks,simulation,model,model_params,participant,trial,symbol,action,time,DISCOUNT,HORIZON,BETA,occ
0,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,0,6,2,12.3,0.72,117.26,4.13,36
1,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,1,3,0,5.19,0.72,117.26,4.13,20
2,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,2,5,2,11.75,0.72,117.26,4.13,32
3,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,3,3,2,11.84,0.72,117.26,4.13,20
4,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,4,6,0,6.49,0.72,117.26,4.13,36
5,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,5,5,2,11.75,0.72,117.26,4.13,32
6,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,6,5,0,5.16,0.72,117.26,4.13,32
7,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,7,6,0,6.68,0.72,117.26,4.13,36
8,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,8,3,0,6.0,0.72,117.26,4.13,20
9,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,9,4,0,5.85,0.72,117.26,4.13,24
10,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,10,3,0,5.6,0.72,117.26,4.13,20
11,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,11,4,0,6.09,0.72,117.26,4.13,24
12,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,12,4,0,6.15,0.72,117.26,4.13,24
13,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,13,5,2,11.37,0.72,117.26,4.13,32
14,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,14,1,0,5.82,0.72,117.26,4.13,8
15,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,15,4,0,6.17,0.72,117.26,4.13,24
16,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,16,5,2,11.96,0.72,117.26,4.13,32
17,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,17,5,1,1.94,0.72,117.26,4.13,32
18,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,18,2,2,12.0,0.72,117.26,4.13,16
19,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,19,5,1,2.63,0.72,117.26,4.13,32
20,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,20,1,0,5.99,0.72,117.26,4.13,8
21,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,21,4,0,5.85,0.72,117.26,4.13,24
22,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,22,1,0,7.35,0.72,117.26,4.13,8
23,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,23,6,2,12.129999999999999,0.72,117.26,4.13,36
24,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,24,2,0,5.66,0.72,117.26,4.13,16
25,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,25,5,1,1.02,0.72,117.26,4.13,32
26,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,26,2,0,4.89,0.72,117.26,4.13,16
27,4,1,Discount,"{'DISCOUNT': 0.72, 'HORIZON': 117.26, 'BETA': 4.13}",0,27,5,1,1.43,0.72,117.26,4.13,32
