,n_locks,simulation,model,model_params,participant,trial,occurrence,symbol,action,time,DISCOUNT,HORIZON,BETA,occ
0,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,0,1,6,0,4.69,0.82,121.8,6.43,36
1,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,1,1,2,0,5.73,0.82,121.8,6.43,16
2,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,2,2,6,0,5.8100000000000005,0.82,121.8,6.43,36
3,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,3,1,3,0,3.8899999999999997,0.82,121.8,6.43,20
4,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,4,1,4,0,4.22,0.82,121.8,6.43,24
5,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,5,2,4,0,7.1,0.82,121.8,6.43,24
6,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,6,3,4,0,5.06,0.82,121.8,6.43,24
7,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,7,1,5,0,3.56,0.82,121.8,6.43,32
8,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,8,2,5,0,4.43,0.82,121.8,6.43,32
9,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,9,3,6,0,5.84,0.82,121.8,6.43,36
10,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,10,2,2,0,3.69,0.82,121.8,6.43,16
11,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,11,1,1,0,4.66,0.82,121.8,6.43,8
12,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,12,4,6,0,4.29,0.82,121.8,6.43,36
13,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,13,3,5,0,5.16,0.82,121.8,6.43,32
14,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,14,4,5,0,4.79,0.82,121.8,6.43,32
15,4,1,Discount,"{'DISCOUNT': 0.82, 'HORIZON': 121.8, 'BETA': 6.43}",0,15,5,6,0,5.8,0.82,121.8,6.43,36
