,n_locks,simulation,model,model_params,participant,trial,occurrence,symbol,action,time,DISCOUNT,HORIZON,BETA,occ,total occurrences
0,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,0,1,6,0,6.82,0.91,100.6,6.24,0,36.0
1,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,1,2,6,0,5.54,0.91,100.6,6.24,0,36.0
2,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,2,1,4,0,3.0,0.91,100.6,6.24,0,24.0
3,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,3,1,5,0,5.13,0.91,100.6,6.24,0,32.0
4,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,4,3,6,0,3.2199999999999998,0.91,100.6,6.24,0,36.0
5,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,5,2,4,0,6.63,0.91,100.6,6.24,0,24.0
6,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,6,2,5,0,6.0600000000000005,0.91,100.6,6.24,0,32.0
7,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,7,3,4,0,4.42,0.91,100.6,6.24,0,24.0
8,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,8,4,6,0,5.87,0.91,100.6,6.24,0,36.0
9,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,9,4,4,0,4.76,0.91,100.6,6.24,0,24.0
10,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,10,5,4,0,4.83,0.91,100.6,6.24,0,24.0
11,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,11,1,2,0,3.84,0.91,100.6,6.24,0,16.0
12,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,12,1,3,0,5.37,0.91,100.6,6.24,0,20.0
13,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,13,6,4,0,6.93,0.91,100.6,6.24,0,24.0
14,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,14,2,2,0,6.33,0.91,100.6,6.24,0,16.0
15,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,15,3,5,0,5.41,0.91,100.6,6.24,0,32.0
16,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,16,4,5,0,6.08,0.91,100.6,6.24,0,32.0
17,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,17,5,5,0,5.45,0.91,100.6,6.24,0,32.0
18,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,18,6,5,0,3.7199999999999998,0.91,100.6,6.24,0,32.0
19,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,19,2,3,0,3.81,0.91,100.6,6.24,0,20.0
20,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,20,1,1,0,4.18,0.91,100.6,6.24,0,8.0
21,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,21,5,6,0,5.54,0.91,100.6,6.24,0,36.0
22,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,22,6,6,0,4.88,0.91,100.6,6.24,0,36.0
23,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,23,3,2,0,5.47,0.91,100.6,6.24,0,16.0
24,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,24,4,2,0,6.16,0.91,100.6,6.24,0,16.0
25,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,25,3,3,0,4.0600000000000005,0.91,100.6,6.24,0,20.0
26,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,26,4,3,0,3.1399999999999997,0.91,100.6,6.24,0,20.0
27,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,27,7,5,0,5.57,0.91,100.6,6.24,0,32.0
28,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,28,7,6,0,3.76,0.91,100.6,6.24,0,36.0
29,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,29,5,2,0,4.01,0.91,100.6,6.24,0,16.0
30,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,30,8,5,0,5.72,0.91,100.6,6.24,0,32.0
31,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,31,9,5,0,5.34,0.91,100.6,6.24,0,32.0
32,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,32,10,5,0,5.29,0.91,100.6,6.24,0,32.0
33,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,33,6,2,0,5.8100000000000005,0.91,100.6,6.24,0,16.0
34,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,34,7,4,0,5.05,0.91,100.6,6.24,0,24.0
35,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,35,5,3,0,4.67,0.91,100.6,6.24,0,20.0
36,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,36,6,3,0,4.7,0.91,100.6,6.24,0,20.0
37,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,37,8,6,0,4.54,0.91,100.6,6.24,0,36.0
38,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,38,7,2,0,3.42,0.91,100.6,6.24,0,16.0
39,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,39,1,0,0,5.62,0.91,100.6,6.24,0,4.0
40,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,40,9,6,0,4.81,0.91,100.6,6.24,0,36.0
41,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,41,10,6,0,5.31,0.91,100.6,6.24,0,36.0
42,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,42,2,0,0,5.22,0.91,100.6,6.24,0,4.0
43,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,43,11,5,0,5.58,0.91,100.6,6.24,0,32.0
44,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,44,11,6,0,5.42,0.91,100.6,6.24,0,36.0
45,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,45,8,4,0,4.0,0.91,100.6,6.24,0,24.0
46,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,46,9,4,0,3.81,0.91,100.6,6.24,0,24.0
47,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,47,12,6,0,4.52,0.91,100.6,6.24,0,36.0
48,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,48,7,3,0,4.02,0.91,100.6,6.24,0,20.0
49,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,49,10,4,0,3.9,0.91,100.6,6.24,0,24.0
50,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,50,12,5,0,5.82,0.91,100.6,6.24,0,32.0
51,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,51,11,4,0,6.37,0.91,100.6,6.24,0,24.0
52,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,52,2,1,0,6.18,0.91,100.6,6.24,0,8.0
53,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,53,8,3,0,6.76,0.91,100.6,6.24,0,20.0
54,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,54,8,2,0,4.96,0.91,100.6,6.24,0,16.0
55,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,55,13,5,0,5.5600000000000005,0.91,100.6,6.24,0,32.0
56,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,56,9,3,0,4.68,0.91,100.6,6.24,0,20.0
57,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,57,3,1,0,4.94,0.91,100.6,6.24,0,8.0
58,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,58,13,6,0,3.0300000000000002,0.91,100.6,6.24,0,36.0
59,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,59,14,5,0,4.57,0.91,100.6,6.24,0,32.0
60,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,60,14,6,0,5.88,0.91,100.6,6.24,0,36.0
61,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,61,15,6,0,5.34,0.91,100.6,6.24,0,36.0
62,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,62,10,3,0,3.8200000000000003,0.91,100.6,6.24,0,20.0
63,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,63,12,4,0,5.53,0.91,100.6,6.24,0,24.0
64,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,64,16,6,0,5.11,0.91,100.6,6.24,0,36.0
65,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,65,17,6,0,3.73,0.91,100.6,6.24,0,36.0
66,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,66,18,6,0,7.49,0.91,100.6,6.24,0,36.0
67,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,67,4,1,0,6.0,0.91,100.6,6.24,0,8.0
68,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,68,15,5,0,4.87,0.91,100.6,6.24,0,32.0
69,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,69,16,5,0,6.42,0.91,100.6,6.24,0,32.0
70,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,70,19,6,0,4.94,0.91,100.6,6.24,0,36.0
71,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,71,3,0,0,4.9,0.91,100.6,6.24,0,4.0
72,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,72,13,4,0,5.72,0.91,100.6,6.24,0,24.0
73,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,73,11,3,0,7.02,0.91,100.6,6.24,0,20.0
74,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,74,20,6,0,5.68,0.91,100.6,6.24,0,36.0
75,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,75,12,3,0,4.86,0.91,100.6,6.24,0,20.0
76,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,76,14,4,0,4.52,0.91,100.6,6.24,0,24.0
77,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,77,15,4,0,5.22,0.91,100.6,6.24,0,24.0
78,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,78,13,3,0,3.41,0.91,100.6,6.24,0,20.0
79,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,79,5,1,0,5.42,0.91,100.6,6.24,0,8.0
80,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,80,17,5,0,4.85,0.91,100.6,6.24,0,32.0
81,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,81,9,2,0,6.95,0.91,100.6,6.24,0,16.0
82,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,82,21,6,0,5.78,0.91,100.6,6.24,0,36.0
83,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,83,18,5,0,5.96,0.91,100.6,6.24,0,32.0
84,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,84,14,3,0,4.43,0.91,100.6,6.24,0,20.0
85,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,85,19,5,0,6.0,0.91,100.6,6.24,0,32.0
86,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,86,22,6,0,5.6,0.91,100.6,6.24,0,36.0
87,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,87,10,2,0,4.22,0.91,100.6,6.24,0,16.0
88,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,88,16,4,0,3.8,0.91,100.6,6.24,0,24.0
89,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,89,20,5,0,5.73,0.91,100.6,6.24,0,32.0
90,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,90,23,6,0,6.45,0.91,100.6,6.24,0,36.0
91,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,91,21,5,0,4.2,0.91,100.6,6.24,0,32.0
92,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,92,15,3,0,4.08,0.91,100.6,6.24,0,20.0
93,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,93,22,5,0,4.4399999999999995,0.91,100.6,6.24,0,32.0
94,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,94,17,4,0,4.37,0.91,100.6,6.24,0,24.0
95,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,95,24,6,0,4.13,0.91,100.6,6.24,0,36.0
96,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,96,6,1,0,5.04,0.91,100.6,6.24,0,8.0
97,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,97,11,2,0,4.94,0.91,100.6,6.24,0,16.0
98,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,98,18,4,0,6.35,0.91,100.6,6.24,0,24.0
99,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,99,19,4,0,6.07,0.91,100.6,6.24,0,24.0
100,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,100,23,5,0,5.29,0.91,100.6,6.24,0,32.0
101,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,101,20,4,0,4.89,0.91,100.6,6.24,0,24.0
102,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,102,16,3,0,4.65,0.91,100.6,6.24,0,20.0
103,4,1,Discount,"{'DISCOUNT': 0.91, 'HORIZON': 100.6, 'BETA': 6.24}",0,103,12,2,0,5.99,0.91,100.6,6.24,0,16.0
