,participant,model,k,parameter names,parameter values,log likelihood,BIC
0,97f3997f-6d17-4c28-8dd5-e66f447429dc,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-41.9,293.8
1,9f2213db-6099-48a6-8b8b-133b33715219,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-90.9,391.8
2,b24de8cd-f3b8-4a3c-8b91-59bfa5f90130,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-39.9,289.8
3,5fb3ce3b-35bf-4718-8170-448d8f7bb2fd,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-105.7,421.4
4,fa36f616-e2cb-4196-90ab-fc705ade348f,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-73.4,356.8
5,e69dd159-f6c2-4580-aee4-dc02f4cfc486,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.69}",-71.9,353.8
6,722e97cd-b4fe-4ddf-a12b-39d76f1f7e42,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-79.9,369.8
7,6d147bbb-5048-400a-a3b1-85e8d160c91b,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-119.0,448.0
8,0d681a27-145b-479a-8b39-e6ae56543a00,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-118.1,446.2
9,531534de-c026-4de0-b62f-2fe06feb8a32,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-37.9,285.8
10,31770ebe-ff07-46a5-aea1-17dc46fc4417,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-15.9,241.8
11,b49a93ab-afdd-4b30-9e88-4988b93f1817,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-73.3,356.6
12,30a64f13-3d84-49db-9c44-1d5b9a99aaa4,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-76.5,363.0
13,7ad3b9a6-9dad-4334-b41d-522347c7b09c,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.16, 'BETA': 0.5}",-61.5,333.0
14,50f3e55f-4d0b-406d-8f96-fb5cd59cefe2,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-78.4,366.8
15,396e8236-2f6c-47a7-b003-8a6191b8c0d5,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-11.1,232.2
16,1c87aae8-e6c1-42b2-a0b1-826298fb9d89,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-117.4,444.8
17,d14cdd30-84d6-4799-8739-6aaecd00ca45,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-15.6,241.2
18,0f460e89-56e2-42cd-a348-a636013a1dcf,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-38.7,287.4
19,c7e6a059-736b-4549-bfd1-0a535045ce64,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-25.9,261.8
20,2ed666d1-2603-40b0-8169-e3179242c3e9,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-10.4,230.8
21,c8deba57-e73c-4bbe-9a26-cdccae160e3a,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-92.6,395.2
22,5761ad8f-95d7-4b1e-9490-b0726b1e6d42,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-44.6,299.2
23,cf41152e-3bb4-4330-853b-a2a143de283a,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-39.0,288.0
24,a58e924b-cef8-4d4b-9c8f-78918c3b2874,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-123.9,457.8
25,d318195b-ac06-4f02-8c71-1f80a4a23ff3,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-45.2,300.4
26,c46bff57-0199-4ea4-97ac-318ba65c4d8c,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.3, 'BETA': 0.5}",-73.4,356.8
27,c72542bd-6fab-49ce-91cd-2ae01eb69130,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-15.1,240.2
28,d9e5733c-42db-4a81-8dd7-f88a7f382e47,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-38.6,287.2
29,cc896214-ce85-4604-93d9-c5d1ea923d31,Discount,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 2.0}",-38.5,287.0
