,simulated model,fit model,BIC,simulation
0,Random,Random,344.8,0
0,Random,CK,843.2,0
0,Random,RW,843.2,0
0,Random,RWCK,1341.5,0
0,Random,Random,344.8,1
0,Random,CK,843.2,1
0,Random,RW,843.2,1
0,Random,RWCK,1341.5,1
0,Random,Random,344.8,2
0,Random,CK,843.2,2
0,Random,RW,843.2,2
0,Random,RWCK,1341.5,2
0,Random,Random,344.8,3
0,Random,CK,843.2,3
0,Random,RW,843.2,3
0,Random,RWCK,1341.5,3
0,Random,Random,344.8,4
0,Random,CK,843.2,4
0,Random,RW,843.2,4
0,Random,RWCK,1341.5,4
0,CK,Random,344.8,0
0,CK,CK,843.2,0
0,CK,RW,843.2,0
0,CK,RWCK,1341.5,0
0,CK,Random,344.8,1
0,CK,CK,843.2,1
0,CK,RW,843.2,1
0,CK,RWCK,1341.5,1
0,CK,Random,344.8,2
0,CK,CK,843.2,2
0,CK,RW,843.2,2
0,CK,RWCK,1341.5,2
0,CK,Random,344.8,3
0,CK,CK,843.2,3
0,CK,RW,843.2,3
0,CK,RWCK,1341.5,3
0,CK,Random,344.8,4
0,CK,CK,843.2,4
0,CK,RW,843.2,4
0,CK,RWCK,1341.5,4
0,RW,Random,344.8,0
0,RW,CK,843.2,0
0,RW,RW,843.2,0
0,RW,RWCK,1341.5,0
0,RW,Random,344.8,1
0,RW,CK,843.2,1
0,RW,RW,843.2,1
0,RW,RWCK,1341.5,1
0,RW,Random,344.8,2
0,RW,CK,843.2,2
0,RW,RW,843.2,2
0,RW,RWCK,1341.5,2
0,RW,Random,344.8,3
0,RW,CK,843.2,3
0,RW,RW,843.2,3
0,RW,RWCK,1341.5,3
0,RW,Random,344.8,4
0,RW,CK,843.2,4
0,RW,RW,843.2,4
0,RW,RWCK,1341.5,4
0,RWCK,Random,344.8,0
0,RWCK,CK,843.2,0
0,RWCK,RW,843.2,0
0,RWCK,RWCK,1341.5,0
0,RWCK,Random,344.8,1
0,RWCK,CK,843.2,1
0,RWCK,RW,843.2,1
0,RWCK,RWCK,1341.5,1
0,RWCK,Random,344.8,2
0,RWCK,CK,843.2,2
0,RWCK,RW,843.2,2
0,RWCK,RWCK,1341.5,2
0,RWCK,Random,344.8,3
0,RWCK,CK,843.2,3
0,RWCK,RW,843.2,3
0,RWCK,RWCK,1341.5,3
0,RWCK,Random,344.8,4
0,RWCK,CK,843.2,4
0,RWCK,RW,843.2,4
0,RWCK,RWCK,1341.5,4
