,participant,model,k,parameter names,parameter values,log likelihood,BIC
0,1,no discount,1,"HORIZON,BETA",{'BETA': 0.09},-72.6,250.2
1,1,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.06, 'BETA': 2.0}",-45.2,300.4
2,1,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.16, 'BETA': 2.0}",-51.0,312.0
3,1,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.94, 'BETA': 2.0, 'GAMMA': 1.0}",-45.2,405.4
4,2,no discount,1,"HORIZON,BETA",{'BETA': 0.19},-80.0,265.0
5,2,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 0.19}",-80.0,370.0
6,2,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'BETA': 0.19}",-80.0,370.0
7,2,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 1.0, 'BETA': 0.19, 'GAMMA': 1.0}",-80.0,475.0
8,3,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
9,3,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.07, 'BETA': 2.0}",-44.9,299.8
10,3,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.25, 'BETA': 2.0}",-51.4,312.8
11,3,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.93, 'BETA': 2.0, 'GAMMA': 1.0}",-44.9,404.8
12,4,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
13,4,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.42, 'BETA': 0.0}",-72.8,355.6
14,4,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.36, 'BETA': 0.0}",-72.8,355.6
15,4,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.22, 'BETA': 0.0, 'GAMMA': 0.06}",-72.8,460.6
16,5,no discount,1,"HORIZON,BETA",{'BETA': 0.0},-72.8,250.6
17,5,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.5, 'BETA': 0.0}",-72.8,355.6
18,5,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.5, 'BETA': 0.01}",-72.8,355.6
19,5,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.21, 'BETA': 0.22, 'GAMMA': 0.0}",-72.7,460.4
20,6,no discount,1,"HORIZON,BETA",{'BETA': 0.71},-64.0,233.0
21,6,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.01, 'BETA': 0.99}",-63.4,336.8
22,6,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.01, 'BETA': 0.94}",-63.5,337.0
23,6,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.99, 'BETA': 0.99, 'GAMMA': 1.0}",-63.4,441.8
