,participant,n_locks,model,k,parameter names,parameter values,log likelihood,BIC
0,-1,-1,no discount,1,"HORIZON,BETA",{'BETA': 0.08},-2225.8,7601.6
1,-1,-1,normative,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.05, 'BETA': 0.18}",-2195.7,10691.4
2,-1,-1,hyperbolic,2,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.14, 'BETA': 0.19}",-2200.6,10701.2
3,-1,-1,quasi-hyperbolic,3,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.95, 'BETA': 0.19, 'GAMMA': 0.94}",-2195.7,13841.4
,participant,n_locks,model,k,parameter names,parameter values,log likelihood,BIC
0,-1,-1,no discount,2,"HORIZON,BETA","{'HORIZON': 33.15, 'BETA': 0.17}",-2186.1,10672.2
1,-1,-1,normative,3,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'HORIZON': 28.69, 'BETA': 0.17}",-2185.8,13821.6
2,-1,-1,hyperbolic,3,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.0, 'HORIZON': 34.19, 'BETA': 0.17}",-2186.6,13823.2
3,-1,-1,quasi-hyperbolic,4,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 1.0, 'HORIZON': 19.65, 'BETA': 0.17, 'GAMMA': 1.0}",-2190.4,16980.8
,participant,n_locks,model,k,parameter names,parameter values,log likelihood,BIC
0,-1,-1,no discount,2,"HORIZON,BETA","{'HORIZON': 20.46, 'BETA': 0.166}",-2190.3,10680.6
1,-1,-1,normative,3,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.5, 'HORIZON': 69.495, 'BETA': 0.225}",-2204.0,13858.0
2,-1,-1,hyperbolic,3,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.013, 'HORIZON': 42.918, 'BETA': 0.171}",-2191.7,13833.4
3,-1,-1,quasi-hyperbolic,4,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.0, 'HORIZON': 59.777, 'BETA': 0.268, 'GAMMA': 0.0}",-2201.7,17003.4
,participant,n_locks,model,k,parameter names,parameter values,log likelihood,BIC
0,-1,-1,no discount,2,"HORIZON,BETA","{'HORIZON': 89.225, 'BETA': 0.084}",-2223.8,10747.6
1,-1,-1,normative,3,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.5, 'HORIZON': 68.519, 'BETA': 0.225}",-2204.0,13858.0
2,-1,-1,hyperbolic,3,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.028, 'HORIZON': 50.889, 'BETA': 0.175}",-2194.0,13838.0
3,-1,-1,quasi-hyperbolic,4,"DISCOUNT,HORIZON,BETA,GAMMA","{'DISCOUNT': 0.0, 'HORIZON': 83.866, 'BETA': 0.268, 'GAMMA': 0.0}",-2201.7,17003.4
,participant,n_locks,model,k,parameter names,parameter values,log likelihood,BIC
0,-1,-1,no discount,2,"HORIZON,BETA","{'HORIZON': 39.325, 'BETA': 0.165}",-2190.2,10680.4
1,-1,-1,normative,3,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.5, 'HORIZON': 61.566, 'BETA': 0.225}",-2204.0,13858.0
2,-1,-1,hyperbolic,3,"DISCOUNT,HORIZON,BETA","{'DISCOUNT': 0.5, 'HORIZON': 9.969, 'BETA': 0.216}",-2203.4,13856.8
