,model,simulated parameters,fit parameters,simulation,DISCOUNT,DISCOUNT_r,HORIZON,HORIZON_r,BETA,BETA_r
0,Discount,"{'DISCOUNT': 0.27, 'HORIZON': 150.0, 'BETA': 3.95}","{'DISCOUNT': 0.24, 'BETA': 0.8}",0,0.27,0.24,150.0,150,3.95,0.8
0,Discount,"{'DISCOUNT': 0.24, 'HORIZON': 150.0, 'BETA': 1.76}","{'DISCOUNT': 0.21, 'BETA': 0.82}",1,0.24,0.21,150.0,150,1.76,0.82
0,Discount,"{'DISCOUNT': 0.29, 'HORIZON': 150.0, 'BETA': 4.32}","{'DISCOUNT': 0.28, 'BETA': 0.91}",2,0.29,0.28,150.0,150,4.32,0.91
0,Discount,"{'DISCOUNT': 0.17, 'HORIZON': 150.0, 'BETA': 3.0}","{'DISCOUNT': 0.16, 'BETA': 0.81}",3,0.17,0.16,150.0,150,3.0,0.81
0,Discount,"{'DISCOUNT': 0.3, 'HORIZON': 150.0, 'BETA': 3.96}","{'DISCOUNT': 0.06, 'BETA': 0.95}",4,0.3,0.06,150.0,150,3.96,0.95
0,Discount,"{'DISCOUNT': 0.18, 'HORIZON': 150.0, 'BETA': 4.05}","{'DISCOUNT': 0.19, 'BETA': 0.75}",5,0.18,0.19,150.0,150,4.05,0.75
0,Discount,"{'DISCOUNT': 0.17, 'HORIZON': 150.0, 'BETA': 2.96}","{'DISCOUNT': 0.27, 'BETA': 0.65}",6,0.17,0.27,150.0,150,2.96,0.65
0,Discount,"{'DISCOUNT': 0.05, 'HORIZON': 150.0, 'BETA': 1.93}","{'DISCOUNT': 0.09, 'BETA': 0.58}",7,0.05,0.09,150.0,150,1.93,0.58
0,Discount,"{'DISCOUNT': 0.02, 'HORIZON': 150.0, 'BETA': 4.35}","{'DISCOUNT': 0.09, 'BETA': 0.59}",8,0.02,0.09,150.0,150,4.35,0.59
0,Discount,"{'DISCOUNT': 0.21, 'HORIZON': 150.0, 'BETA': 3.63}","{'DISCOUNT': 0.15, 'BETA': 0.73}",9,0.21,0.15,150.0,150,3.63,0.73
