,model,simulated parameters,fit parameters,simulation,A_RW,A_RW_r,B_RW,B_RW_r
0,RW,"{'A_RW': 0.26, 'B_RW': 3.7}","{'A_RW': 0.3, 'B_RW': 3.9}",0,0.26,0.3,3.7,3.9
0,RW,"{'A_RW': 0.78, 'B_RW': 5.65}","{'A_RW': 0.7, 'B_RW': 6.0}",1,0.78,0.7,5.65,6.0
0,RW,"{'A_RW': 0.42, 'B_RW': 3.5}","{'A_RW': 0.4, 'B_RW': 3.8}",2,0.42,0.4,3.5,3.8
0,RW,"{'A_RW': 0.71, 'B_RW': 4.71}","{'A_RW': 0.7, 'B_RW': 4.3}",3,0.71,0.7,4.71,4.3
0,RW,"{'A_RW': 0.85, 'B_RW': 1.97}","{'A_RW': 0.7, 'B_RW': 2.3}",4,0.85,0.7,1.97,2.3
0,RW,"{'A_RW': 0.78, 'B_RW': 2.28}","{'A_RW': 0.6, 'B_RW': 2.5}",5,0.78,0.6,2.28,2.5
0,RW,"{'A_RW': 0.51, 'B_RW': 1.35}","{'A_RW': 0.5, 'B_RW': 1.4}",6,0.51,0.5,1.35,1.4
0,RW,"{'A_RW': 0.31, 'B_RW': 4.33}","{'A_RW': 0.3, 'B_RW': 4.3}",7,0.31,0.3,4.33,4.3
0,RW,"{'A_RW': 0.22, 'B_RW': 4.85}","{'A_RW': 0.3, 'B_RW': 5.3}",8,0.22,0.3,4.85,5.3
0,RW,"{'A_RW': 0.96, 'B_RW': 0.2}","{'A_RW': 1.0, 'B_RW': 0.2}",9,0.96,1.0,0.2,0.2
0,RW,"{'A_RW': 0.66, 'B_RW': 2.0}","{'A_RW': 0.5, 'B_RW': 2.3}",10,0.66,0.5,2.0,2.3
0,RW,"{'A_RW': 0.99, 'B_RW': 2.91}","{'A_RW': 1.0, 'B_RW': 2.7}",11,0.99,1.0,2.91,2.7
0,RW,"{'A_RW': 0.2, 'B_RW': 4.66}","{'A_RW': 0.2, 'B_RW': 4.8}",12,0.2,0.2,4.66,4.8
0,RW,"{'A_RW': 0.5, 'B_RW': 1.36}","{'A_RW': 0.5, 'B_RW': 1.8}",13,0.5,0.5,1.36,1.8
0,RW,"{'A_RW': 0.44, 'B_RW': 3.03}","{'A_RW': 0.5, 'B_RW': 3.3}",14,0.44,0.5,3.03,3.3
0,RW,"{'A_RW': 0.8, 'B_RW': 3.76}","{'A_RW': 0.8, 'B_RW': 4.0}",15,0.8,0.8,3.76,4.0
0,RW,"{'A_RW': 0.94, 'B_RW': 3.3}","{'A_RW': 1.0, 'B_RW': 3.2}",16,0.94,1.0,3.3,3.2
